altitude,temperature,wind_direction,wind_speed,visibility,rain,humidity,pressure,weather_class
10685.34499,-14.21615156,264.1224549,30.88675818744,29179.71514,0.0,100.0,19.66326707,Zone de basses pressions
10660.17432,-14.13958124,264.1179289,30.8376690384,29022.65418,0.0,100.0,19.68694349,Zone de basses pressions
10633.02673,-14.06104403,264.1132195,30.78730162044,28882.98625,0.0,100.0,19.71117396,Zone de basses pressions
10605.07994,-13.98183419,264.1083646,30.73560224408,28757.82622,0.0,100.0,19.73541859,Zone de basses pressions
10576.99861,-13.9027233,264.1034156,30.682909510480002,16093.44,0.6666666667,100.0,19.91267923,Frontière d'une dépression
10546.1731,-7.980310163,185.5781829,10.70915095984,16093.44,0.0,100.0,19.98557565,Brouillard matinal
10516.33962,-8.457232446,192.848678,12.749318573156001,16093.44,0.0,100.0,20.06077174,Frontière d'une zone à haute pression
10489.03765,-8.643201533,198.0107067,14.924259897136002,16093.44,0.0,100.0,20.14551442,Frontière d'une zone à haute pression
10461.66283,-8.58896639,203.5737523,15.803134447771999,16093.44,0.0,100.0,20.1672937,Frontière d'une zone à haute pression
10434.09914,-8.534279603,209.1826315,16.606966232504004,16093.44,0.0,100.0,20.18940482,Frontière d'une zone à haute pression
10406.21296,-8.479242571,210.2495096,16.677162527388,16093.44,0.0,100.0,20.21164884,Frontière d'une zone à haute pression
10378.19071,-8.423504406,210.2319938,16.676511649396,16093.44,0.0,100.0,20.23389764,Frontière d'une zone à haute pression
10350.01771,-8.367764291,210.2144333,16.675861612212003,16093.44,0.0,100.0,20.256309,Frontière d'une zone à haute pression
10322.02823,-8.312311701,210.19694,16.675211976912,16093.44,0.0,100.0,20.27857751,Frontière d'une zone à haute pression
10294.19355,-8.257241916,210.1796114,16.674571946084,16093.44,0.0,100.0,20.30041077,Frontière d'une zone à haute pression
10266.8242,-8.203169924,210.162536,16.67394364212,16093.44,0.0,100.0,20.32207019,Frontière d'une zone à haute pression
10239.79888,-8.149703558,210.1456932,16.673319044008,16093.44,0.0,100.0,20.34344825,Frontière d'une zone à haute pression
10213.10969,-8.096688799,210.1290125,16.672699574084,16093.44,0.0,100.0,20.36473843,Frontière d'une zone à haute pression
10186.34408,-8.043936835,210.1122839,16.672082119136,16093.44,0.0,100.0,20.38616607,Frontière d'une zone à haute pression
10159.70813,-7.991099014,210.0956219,16.671466014296,16093.44,0.0,100.0,20.40747014,Frontière d'une zone à haute pression
10003.02129,-7.680715317,209.9965583,16.667504475176003,16092.63504,0.0,100.0,20.53196783,Frontière d'une zone à basse pression
9978.76148,-7.633906454,209.9734487,16.66585497656,16087.16637,0.0,100.0,20.54745451,Frontière d'une zone à basse pression
9960.17667,-7.598485428,209.95641,16.664644640852,16081.48086,0.0,100.0,20.55846628,Frontière d'une zone à basse pression
9947.110177,-7.573881071,209.9445986,16.663808968448,16077.14706,0.0,100.0,20.56584697,Frontière d'une zone à basse pression
9938.398755,-7.557592369,209.9367611,16.663259613392,16074.13286,0.0,100.0,20.57063316,Frontière d'une zone à basse pression
9932.894791,-7.547211089,209.9318461,16.662919156528,16072.18161,0.0,100.0,20.57353312,Frontière d'une zone à basse pression
9929.486384,-7.540930717,209.9288889,16.662712595560002,16070.96755,0.0,100.0,20.57523568,Frontière d'une zone à basse pression
9927.517956,-7.537259028,209.9271708,16.662593676788003,16070.24421,0.0,100.0,20.57621507,Frontière d'une zone à basse pression
9926.378179,-7.535153092,209.9261743,16.662525306504,16069.82159,0.0,100.0,20.57678412,Frontière d'une zone à basse pression
9925.713551,-7.533961605,209.9256241,16.662487388656,16069.58176,0.0,100.0,20.57707373,Frontière d'une zone à basse pression
9925.393738,-7.533353237,209.9253162,16.662464577572003,16069.44759,0.0,100.0,20.57724328,Frontière d'une zone à basse pression
9925.221178,-7.533089069,209.9252212,16.662460392052,16069.38636,0.0,100.0,20.57724311,Frontière d'une zone à basse pression
9925.221365,-7.533089382,209.9252214,16.662460399460002,16069.37388,0.0,100.0,20.57724309,Frontière d'une zone à basse pression
9925.221373,-7.533089366,209.9252213,16.662460395756003,16069.37136,0.0,100.0,20.57724315,Frontière d'une zone à basse pression
9925.221284,-7.53308918,209.9252212,16.662460388348002,16069.37082,0.0,100.0,20.57724324,Frontière d'une zone à basse pression
9925.221156,-7.533088928,209.9252211,16.66246038094,16069.37068,0.0,100.0,20.57724335,Frontière d'une zone à basse pression
9925.221032,-7.533088646,209.9252186,16.544803111704002,26707.55477,0.0,100.0,20.17343599,Zone de basses pressions
9924.302717,-12.39867839,263.9784034,29.484229734880003,25234.471,0.0,100.0,20.18677797,Zone de basses pressions
9905.439633,-12.35726136,263.9724082,29.84546422392,25229.27974,0.0,100.0,20.52133768,Zone de basses pressions
9879.052842,-5.775072887,263.9333363,29.39044423264,21641.66084,0.0,100.0,20.54278542,Frontière d'une zone à basse pression
9852.95376,-5.724863584,263.9579837,29.346803482400002,21634.87883,0.0,100.0,20.55750144,Frontière d'une zone à basse pression
9836.055723,-5.693884079,263.9538086,29.32123502968,21631.1355,0.0,100.0,20.56561289,Frontière d'une zone à basse pression
9826.397702,-5.67588744,263.9513281,29.305828000920002,21628.8449,0.0,100.0,20.57065989,Frontière d'une zone à basse pression
9820.430358,-5.664782333,263.9498007,29.29625667972,21627.39479,0.0,100.0,20.57402439,Frontière d'une zone à basse pression
9816.438152,-5.657214013,263.9487672,29.28975815988,21626.40353,0.0,100.0,20.57622652,Frontière d'une zone à basse pression
